"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"961",870,"6193 West","Devon Ave","08/15/2006",33300,"East Bound: 16700 / West Bound: 16600","(41.997401, -87.782852)",c(-87.782852, 41.997401)
"962",391,"12423 South","Michigan Ave","11/14/2006",8900,"North Bound: 4000 / South Bound: 4900","(41.66836, -87.620176)",c(-87.620176, 41.66836)
"963",1219,"5231 South","Pulaski Rd","08/15/2006",60400,"North Bound: 33300 / South Bound: 27100","(41.797723, -87.72329)",c(-87.72329, 41.797723)
"964",1316,"10216 South","Pulaski Rd","08/22/2006",34000,"North Bound: 16800 / South Bound: 17200","(41.707206, -87.720975)",c(-87.720975, 41.707206)
"965",689,"7477 North","Clark St","08/23/2006",19900,"North Bound: 9700 / South Bound: 10200","(42.017888, -87.67569)",c(-87.67569, 42.017888)
"966",1319,"11427 South","Western Ave","08/22/2006",19600,"North Bound: 10200 / South Bound: 9400","(41.685379, -87.680954)",c(-87.680954, 41.685379)
"967",584,"11450 South","Kedzie Ave","08/22/2006",19600,"North Bound: 10200 / South Bound: 9400","(41.68508, -87.700584)",c(-87.700584, 41.68508)
"968",976,"1059 West","Foster Ave","08/24/2006",24200,"East Bound: 10400 / West Bound: 13800","(41.97636, -87.657362)",c(-87.657362, 41.97636)
"969",38,"4358 South","Dr Martin Luther King Jr Dr","03/02/2006",14500,"North Bound: 6600 / South Bound: 7900","(41.814852, -87.616741)",c(-87.616741, 41.814852)
"970",803,"1527 West","Irving Park Rd","08/29/2006",29800,"East Bound: 15900 / West Bound: 13900","(41.954295, -87.668734)",c(-87.668734, 41.954295)
"971",368,"634 South","Wabash Ave","05/02/2006",9100,"North Bound: 3300 / South Bound: 5800","(41.873661, -87.62598)",c(-87.62598, 41.873661)
"972",1358,"197 East","Monroe St","09/20/2006",13500,"East Bound: 8100 / West Bound: 5400","(41.88085, -87.622687)",c(-87.622687, 41.88085)
"973",755,"9233 South","Commercial Ave","10/18/2006",14500,"North Bound: 7500 / South Bound: 7000","(41.727211, -87.551189)",c(-87.551189, 41.727211)
"974",1230,"3393 South","Archer Ave","08/17/2006",19200,"East Bound: 9400 / West Bound: 9800","(41.832267, -87.674585)",c(-87.674585, 41.832267)
"975",703,"222 North","Kedzie Ave","10/09/2006",14500,"North Bound: 7500 / South Bound: 7000","(41.885154, -87.706241)",c(-87.706241, 41.885154)
"976",1101,"159 North","Halsted St","10/02/2006",20000,"North Bound: 10200 / South Bound: 9800","(41.884845, -87.64745)",c(-87.64745, 41.884845)
"977",658,"3249 North","Elston Ave","09/18/2006",14800,"North Bound: 7500 / South Bound: 7300","(41.940326, -87.69968)",c(-87.69968, 41.940326)
"978",1320,"7531 South","Stony Island Ave","11/01/2006",70900,"North Bound: 36100 / South Bound: 34800","(41.757869, -87.585712)",c(-87.585712, 41.757869)
"979",645,"2845 North","Cicero Ave","10/11/2006",44000,"North Bound: 22100 / South Bound: 21900","(41.9329, -87.746649)",c(-87.746649, 41.9329)
"980",1134,"230 East","Ohio St","09/21/2006",12300,"East Bound: 12300 / / Oneway East Bound","(41.892579, -87.621433)",c(-87.621433, 41.892579)
"981",932,"3724 West","Fullerton Ave","08/17/2006",34400,"East Bound: 17300 / West Bound: 17100","(41.924561, -87.720455)",c(-87.720455, 41.924561)
"982",15,"4750 South","Cottage Grove Ave","03/01/2006",14200,"North Bound: 7000 / South Bound: 7200","(41.807987, -87.606532)",c(-87.606532, 41.807987)
"983",782,"6333 North","Milwaukee Ave","08/15/2006",26800,"North Bound: 13300 / South Bound: 13500","(41.995915, -87.786522)",c(-87.786522, 41.995915)
"984",88,"9124 South","State St","03/08/2006",4900,"North Bound: 4900 / / Oneway North Bound","(41.728281, -87.623913)",c(-87.623913, 41.728281)
"985",198,"817 East","87th Street","03/23/2006",21300,"East Bound: 10800 / West Bound: 10500","(41.73606, -87.644455)",c(-87.644455, 41.73606)
"986",1183,"1941 West","Roosevelt Rd","10/19/2006",28900,"East Bound: 14900 / West Bound: 14000","(41.866765, -87.67545)",c(-87.67545, 41.866765)
"987",1051,"222 West","Adams St","09/20/2006",16400,"West Bound: 16400/ Oneway West Bound","(41.879377, -87.634436)",c(-87.634436, 41.879377)
"988",1229,"204 West","83rd St","10/04/2006",22700,"East Bound: 12100 / West Bound: 10600","(41.743578, -87.629307)",c(-87.629307, 41.743578)
"989",419,"5850 West","Montrose Ave","10/25/2006",22700,"East Bound: 11600 / West Bound: 11100","(41.960389, -87.774207)",c(-87.774207, 41.960389)
"990",1084,"415 North","Dearborn St","09/19/2006",16100,"North Bound: 16100 / / Oneway North Bound","(41.889784, -87.629599)",c(-87.629599, 41.889784)
"991",343,"1300 East","Midway Plaisance","03/28/2006",16700,"East Bound: 9200 / West Bound: 7500","(41.787229, -87.594821)",c(-87.594821, 41.787229)
"992",483,"500 West","Fullerton Ave","08/16/2006",18500,"East Bound: 8600 / West Bound: 9900","(41.925567, -87.641535)",c(-87.641535, 41.925567)
"993",614,"2149 South","California Ave","08/15/2006",17700,"North Bound: 8800 / South Bound: 8900","(41.852259, -87.695456)",c(-87.695456, 41.852259)
"994",640,"3125 North","Kimball Ave","10/09/2006",20000,"North Bound: 10300 / South Bound: 9700","(41.93822, -87.712455)",c(-87.712455, 41.93822)
"995",1373,"354 West","109th St","10/04/2006",800,"West Bound: 800/ Oneway West Bound","(41.696116, -87.632637)",c(-87.632637, 41.696116)
"996",657,"3235 North","Kedzie Ave","12/11/2006",15000,"North Bound: 6900 / South Bound: 8100","(41.940356, -87.707649)",c(-87.707649, 41.940356)
"997",165,"519 West","63rd St","03/28/2006",8000,"East Bound: 3900 / West Bound: 4100","(41.779852, -87.638388)",c(-87.638388, 41.779852)
"998",536,"4247 North","Western Ave","08/16/2006",40700,"North Bound: 19400 / South Bound: 21300","(41.959095, -87.688615)",c(-87.688615, 41.959095)
"999",56,"10320 South","Indianapolis Ave","05/11/2006",38500,"North Bound: 19200 / South Bound: 19300","(41.707611, -87.529702)",c(-87.529702, 41.707611)
"1000",944,"4245 West","Lawrence Ave","08/10/2006",22600,"East Bound: 11400 / West Bound: 11200","(41.968165, -87.734816)",c(-87.734816, 41.968165)
"1001",927,"1751 North","Central Park Ave","11/14/2006",10300,"North Bound: 4500 / South Bound: 5800","(41.913289, -87.716646)",c(-87.716646, 41.913289)
"1002",1340,"340 West","Adams St","09/20/2006",14300,"West Bound: 14300/ Oneway West Bound","(41.879353, -87.636437)",c(-87.636437, 41.879353)
"1003",1065,"3652 West","Chicago Ave","11/14/2006",20000,"East Bound: 10600 / West Bound: 9400","(41.895439, -87.718427)",c(-87.718427, 41.895439)
"1004",913,"3023 West","Addison Ave","08/14/2006",29800,"East Bound: 15300 / West Bound: 14500","(41.94665, -87.70393)",c(-87.70393, 41.94665)
"1005",278,"410 East","55th St","04/27/2006",22800,"East Bound: 6100 / West Bound: 16700","(41.794804, -87.61571)",c(-87.61571, 41.794804)
"1006",503,"3116 West","Lake St","11/13/2006",5700,"East Bound: 3000 / West Bound: 2700","(41.884246, -87.704407)",c(-87.704407, 41.884246)
"1007",256,"507 West","35th St","04/25/2006",15900,"East Bound: 6500 / West Bound: 9400","(41.830843, -87.639107)",c(-87.639107, 41.830843)
"1008",672,"4050 North","Elston Ave","08/10/2006",20200,"North Bound: 9300 / South Bound: 10900","(41.954748, -87.720647)",c(-87.720647, 41.954748)
"1009",487,"8950 West","Lawrence Ave","08/16/2006",24600,"East Bound: 12900 / West Bound: 11700","(41.966293, -87.850072)",c(-87.850072, 41.966293)
"1010",1171,"2505 South","Central Park Ave","09/14/2006",10300,"North Bound: 4500 / South Bound: 5800","(41.846067, -87.714837)",c(-87.714837, 41.846067)
"1011",117,"5348 South","Halsted St","03/15/2006",15000,"North Bound: 7700 / South Bound: 7300","(41.796466, -87.645213)",c(-87.645213, 41.796466)
"1012",1276,"5215 West","Devon Ave","08/09/2006",26600,"East Bound: 14000 / West Bound: 12600","(41.997323, -87.758573)",c(-87.758573, 41.997323)
"1013",395,"12940 South","Torrence Ave","08/31/2006",18600,"North Bound: 9400 / South Bound: 9200","(41.659854, -87.55928)",c(-87.55928, 41.659854)
"1014",599,"6217 South","Ashland Ave","10/31/2006",36000,"North Bound: 18300 / South Bound: 17700","(41.780774, -87.664249)",c(-87.664249, 41.780774)
"1015",1001,"1768 North","Western Ave","09/28/2006",40000,"North Bound: 20100 / South Bound: 19900","(41.913995, -87.687313)",c(-87.687313, 41.913995)
"1016",579,"350 East","111th St","08/29/2006",12200,"East Bound: 5600 / West Bound: 6600","(41.692731, -87.613734)",c(-87.613734, 41.692731)
"1017",105,"7132 South","Ashland Ave","03/21/2006",35000,"North Bound: 16500 / South Bound: 18500","(41.763965, -87.663752)",c(-87.663752, 41.763965)
"1018",521,"2415 North","Pulaski Rd","10/05/2006",25000,"North Bound: 13700 / South Bound: 11300","(41.924943, -87.726783)",c(-87.726783, 41.924943)
"1019",227,"5038 South","Loomis St","03/23/2006",2000,"North Bound: 1000 / South Bound: 1000","(41.80202, -87.659934)",c(-87.659934, 41.80202)
"1020",720,"6221 West","Gunnison St","10/10/2006",12300,"East Bound: 6400 / West Bound: 5900","(41.968461, -87.784013)",c(-87.784013, 41.968461)
"1021",1248,"5921 South","Western Ave","10/31/2006",41900,"North Bound: 24800 / South Bound: 17100","(41.78592, -87.683819)",c(-87.683819, 41.78592)
"1022",1049,"1233 West","Adams St","10/05/2006",3800,"West Bound: 3800/ Oneway West Bound","(41.879037, -87.658396)",c(-87.658396, 41.879037)
"1023",738,"6805 North","Northwest Hwy","08/15/2006",16100,"North Bound: 7500 / South Bound: 8600","(42.004572, -87.818987)",c(-87.818987, 42.004572)
"1024",972,"4113 North","Damen Ave","08/29/2006",12500,"North Bound: 6300 / South Bound: 6200","(41.956405, -87.678823)",c(-87.678823, 41.956405)
"1025",563,"4301 West","Diversey Ave","08/10/2006",18700,"East Bound: 9700 / West Bound: 9000","(41.931692, -87.734385)",c(-87.734385, 41.931692)
"1026",624,"2123 North","Damen Ave","10/26/2006",22100,"North Bound: 12400 / South Bound: 9700","(41.920367, -87.677714)",c(-87.677714, 41.920367)
"1027",534,"3515 West","Washington St","10/19/2006",10500,"East Bound: 5100 / West Bound: 5400","(41.881363, -87.714203)",c(-87.714203, 41.881363)
"1028",818,"4019 West","59th St","08/15/2006",20200,"East Bound: 13100 / West Bound: 7100","(41.785928, -87.723856)",c(-87.723856, 41.785928)
"1029",1313,"212 West","95th ST","10/18/2006",34100,"East Bound: 14400 / West Bound: 19700","(41.721653, -87.629162)",c(-87.629162, 41.721653)
"1030",959,"3524 North","Ashland Ave","08/29/2006",33800,"North Bound: 16600 / South Bound: 17200","(41.945925, -87.668832)",c(-87.668832, 41.945925)
"1031",242,"8228 South","Racine Ave","03/23/2006",11800,"North Bound: 6000 / South Bound: 5800","(41.744158, -87.653566)",c(-87.653566, 41.744158)
"1032",1215,"4210 West","Marquette Rd","09/28/2006",22800,"East Bound: 11400 / West Bound: 11400","(41.771311, -87.727968)",c(-87.727968, 41.771311)
"1033",122,"9550 South","Halsted St","03/21/2006",37900,"North Bound: 20800 / South Bound: 17100","(41.719968, -87.643173)",c(-87.643173, 41.719968)
"1034",1285,"10801 South","Cottage Grove Ave","10/04/2006",11600,"North Bound: 5900 / South Bound: 5700","(41.698187, -87.608616)",c(-87.608616, 41.698187)
"1035",1087,"3649 West","Division St","11/13/2006",29300,"East Bound: 14000 / West Bound: 15300","(41.902739, -87.718482)",c(-87.718482, 41.902739)
"1036",400,"120 South","Des Plaines St","10/02/2006",8800,"South Bound: 8800/ Oneway South Bound","(41.879863, -87.644062)",c(-87.644062, 41.879863)
"1037",912,"5749 North","Western Ave","08/16/2006",34100,"North Bound: 17100 / South Bound: 17000","(41.986477, -87.689538)",c(-87.689538, 41.986477)
"1038",832,"4035 West","Madison St","10/13/2006",21200,"East Bound: 10200 / West Bound: 11000","(41.880707, -87.727098)",c(-87.727098, 41.880707)
"1039",1197,"6247 South","Archer Ave","10/11/2006",25700,"East Bound: 12900 / West Bound: 12800","(41.793573, -87.77629)",c(-87.77629, 41.793573)
"1040",1381,"5900 South","Lake Shore Dr","12/18/2006",53800,"North Bound: 29200 / South Bound: 24600","(41.787818, -87.577818)",c(-87.577818, 41.787818)
"1041",632,"2420 North","Sacramento Ave","11/14/2006",16500,"North Bound: 8500 / South Bound: 8000","(41.925478, -87.702337)",c(-87.702337, 41.925478)
"1042",1354,"421 South","Wabash Ave","09/19/2006",9600,"South Bound: 9600/ Oneway South Bound","(41.876452, -87.626044)",c(-87.626044, 41.876452)
"1043",750,"3506 East","95Th St","10/18/2006",14500,"East Bound: 7200 / West Bound: 7300","(41.722917, -87.538618)",c(-87.538618, 41.722917)
"1044",1033,"850 South","Laramie Ave","10/23/2006",18800,"North Bound: 9100 / South Bound: 9700","(41.869233, -87.754655)",c(-87.754655, 41.869233)
"1045",875,"5110 North","Elston Ave","08/10/2006",15900,"North Bound: 7800 / South Bound: 8100","(41.973886, -87.749542)",c(-87.749542, 41.973886)
"1046",1035,"5937 West","Madison St","12/13/2006",13400,"East Bound: 5500 / West Bound: 7900","(41.880108, -87.773266)",c(-87.773266, 41.880108)
"1047",556,"2501 West","103rd St","08/24/2006",23600,"East Bound: 12100 / West Bound: 11500","(41.706389, -87.684155)",c(-87.684155, 41.706389)
"1048",349,"8527 South","Burley Ave","03/28/2006",18100,"North Bound: 8500 / South Bound: 9600","(41.74028, -87.54538)",c(-87.54538, 41.74028)
"1049",964,"3120 North","Broadway","10/16/2006",11700,"North Bound: 5100 / South Bound: 6600","(41.938295, -87.644341)",c(-87.644341, 41.938295)
"1050",807,"51 East","119th St","08/29/2006",6900,"East Bound: 3600 / West Bound: 3300","(41.678058, -87.620552)",c(-87.620552, 41.678058)
"1051",52,"3420 South","Indiana Ave","05/02/2006",7400,"North Bound: 7400 / / Oneway North Bound","(41.832167, -87.621788)",c(-87.621788, 41.832167)
"1052",333,"3319 West","Harrison St","03/28/2006",2300,"East Bound: 2300 / / Oneway East Bound","(41.873649, -87.709133)",c(-87.709133, 41.873649)
"1053",1146,"270 North","Sacramento Ave","10/09/2006",20500,"North Bound: 10500 / South Bound: 10000","(41.886224, -87.70135)",c(-87.70135, 41.886224)
"1054",32,"5929 South","Damen Ave","03/09/2006",14900,"North Bound: 7600 / South Bound: 7300","(41.785746, -87.674075)",c(-87.674075, 41.785746)
"1055",1017,"1023 North","Western Ave","10/11/2006",36600,"North Bound: 18700 / South Bound: 17900","(41.900187, -87.686957)",c(-87.686957, 41.900187)
"1056",1190,"3234 West","59th St","10/24/2006",23600,"East Bound: 10100 / West Bound: 13500","(41.786225, -87.704698)",c(-87.704698, 41.786225)
"1057",286,"2525 South","Blue Island Ave","03/30/2006",18100,"North Bound: 9200 / South Bound: 8900","(41.846463, -87.681163)",c(-87.681163, 41.846463)
"1058",181,"1344 West","79th Street","03/28/2006",17300,"East Bound: 9500 / West Bound: 7800","(41.750449, -87.657022)",c(-87.657022, 41.750449)
"1059",699,"114 North","Hamlin Ave","10/12/2006",15500,"North Bound: 8200 / South Bound: 7300","(41.882384, -87.720836)",c(-87.720836, 41.882384)
"1060",383,"10250 South","Ewing Ave","10/18/2006",6800,"North Bound: 4500 / South Bound: 2300","(41.708489, -87.535287)",c(-87.535287, 41.708489)
"1061",423,"2851 North","Austin Ave","10/25/2006",21300,"North Bound: 9100 / South Bound: 12200","(41.93269, -87.776018)",c(-87.776018, 41.93269)
"1062",209,"305 West","95th Street","03/22/2006",29900,"East Bound: 15600 / West Bound: 14300","(41.721622, -87.631298)",c(-87.631298, 41.721622)
"1063",69,"2317 South","Michigan Ave","03/02/2006",13000,"North Bound: 5800 / South Bound: 7200","(41.850595, -87.623745)",c(-87.623745, 41.850595)
"1064",135,"6642 South","Western Ave","03/23/2006",39100,"North Bound: 20500 / South Bound: 18600","(41.77249, -87.683456)",c(-87.683456, 41.77249)
"1065",677,"4445 North","Pulaski Rd","10/05/2006",27300,"North Bound: 13800 / South Bound: 13500","(41.962267, -87.727863)",c(-87.727863, 41.962267)
"1066",435,"3654 West","16th St","09/14/2006",9500,"East Bound: 4400 / West Bound: 5100","(41.858949, -87.717426)",c(-87.717426, 41.858949)
"1067",194,"2848 East","83rd Street","03/23/2006",8300,"East Bound: 4200 / West Bound: 4100","(41.744615, -87.554455)",c(-87.554455, 41.744615)
"1068",161,"8930 South","Mackinaw Ave","05/04/2006",13800,"North Bound: 5800 / South Bound: 8000","(41.732854, -87.542962)",c(-87.542962, 41.732854)
"1069",1344,"430 South","Wacker Dr (lower)","09/19/2006",32000,"North Bound: 14700 / South Bound: 17300","(41.876142, -87.636377)",c(-87.636377, 41.876142)
"1070",788,"700 South","Pulaski Rd","10/04/2006",23700,"North Bound: 13300 / South Bound: 10400","(41.872493, -87.725399)",c(-87.725399, 41.872493)
"1071",453,"105 West","Congress Pkwy","09/27/2006",76700,"East Bound: 37000 / West Bound: 39700","(41.875606, -87.630878)",c(-87.630878, 41.875606)
"1072",848,"5434 West","Addison Ave","08/14/2006",22900,"East Bound: 11600 / West Bound: 11300","(41.94592, -87.763269)",c(-87.763269, 41.94592)
"1073",843,"2324 West","Armitage Ave","08/09/2006",16800,"East Bound: 9000 / West Bound: 7800","(41.917591, -87.686072)",c(-87.686072, 41.917591)
"1074",28,"3460 South","Damen Ave","03/02/2006",8100,"North Bound: 3800 / South Bound: 4300","(41.830389, -87.675279)",c(-87.675279, 41.830389)
"1075",1069,"670 South","Clark St","09/20/2006",20400,"North Bound: 9100 / South Bound: 11300","(41.873368, -87.630642)",c(-87.630642, 41.873368)
"1076",12,"9379 South","Commercial Ave","03/07/2006",12700,"North Bound: 6000 / South Bound: 6700","(41.724444, -87.551124)",c(-87.551124, 41.724444)
"1077",91,"6629 South","Wentworth Ave","03/07/2006",7100,"North Bound: 2800 / South Bound: 4300","(41.773651, -87.629987)",c(-87.629987, 41.773651)
"1078",1110,"625 West","Jackson Blvd","09/28/2006",11900,"East Bound: 11900 / / Oneway East Bound","(41.877989, -87.643682)",c(-87.643682, 41.877989)
"1079",611,"3026 South","California Ave","08/17/2006",23400,"North Bound: 11800 / South Bound: 11600","(41.838385, -87.695058)",c(-87.695058, 41.838385)
"1080",319,"1533 East","56th St","03/28/2006",13600,"East Bound: 6500 / West Bound: 7100","(41.793359, -87.587904)",c(-87.587904, 41.793359)
"1081",141,"10630 South","Western Ave","03/23/2006",36600,"North Bound: 18500 / South Bound: 18100","(41.699963, -87.681415)",c(-87.681415, 41.699963)
"1082",72,"3721 South","Michigan Ave","03/02/2006",8000,"South Bound: 8000/ Oneway South Bound","(41.826807, -87.623149)",c(-87.623149, 41.826807)
"1083",984,"1058 West","Lawrence Ave","10/31/2006",15800,"East Bound: 8200 / West Bound: 7600","(41.969057, -87.657171)",c(-87.657171, 41.969057)
"1084",410,"1117 North","Laramie Ave","10/23/2006",19500,"North Bound: 10200 / South Bound: 9300","(41.900935, -87.755742)",c(-87.755742, 41.900935)
"1085",260,"1430 West","43rd St","03/29/2006",4800,"East Bound: 2800 / West Bound: 2000","(41.815847, -87.661488)",c(-87.661488, 41.815847)
"1086",272,"40 West","51st St","04/27/2006",9400,"East Bound: 4000 / West Bound: 5400","(41.801921, -87.62744)",c(-87.62744, 41.801921)
"1087",469,"3980 West","111th St","08/22/2006",20200,"East Bound: 9700 / West Bound: 10500","(41.691285, -87.720316)",c(-87.720316, 41.691285)
"1088",549,"3105 West","Garfield Blvd","10/11/2006",24800,"East Bound: 12200 / West Bound: 12600","(41.793556, -87.701352)",c(-87.701352, 41.793556)
"1089",231,"7807 South","Loomis St","03/23/2006",6600,"North Bound: 3000 / South Bound: 3600","(41.752036, -87.658628)",c(-87.658628, 41.752036)
"1090",716,"1667 North","Wells St","10/12/2006",10700,"North Bound: 4600 / South Bound: 6100","(41.912883, -87.634765)",c(-87.634765, 41.912883)
"1091",999,"2160 North","Western Ave","08/31/2006",39200,"North Bound: 19900 / South Bound: 19300","(41.921642, -87.687537)",c(-87.687537, 41.921642)
"1092",1289,"10400 South","Michigan Ave","09/06/2006",14300,"North Bound: 8100 / South Bound: 6200","(41.705358, -87.620496)",c(-87.620496, 41.705358)
"1093",1164,"2434 West","Warren Blvd","10/05/2006",6000,"East Bound: 6000 / / Oneway East Bound","(41.882074, -87.687892)",c(-87.687892, 41.882074)
"1094",517,"1504 West","Augusta Blvd","10/18/2006",12800,"East Bound: 6200 / West Bound: 6600","(41.899743, -87.66515)",c(-87.66515, 41.899743)
"1095",1309,"4200 West","111th St","11/09/2006",29800,"East Bound: 13300 / West Bound: 16500","(41.691254, -87.724362)",c(-87.724362, 41.691254)
"1096",822,"2605 West","Armitage Ave","08/09/2006",16800,"East Bound: 8400 / West Bound: 8400","(41.917529, -87.692627)",c(-87.692627, 41.917529)
"1097",301,"2208 West","Marquette Rd","03/28/2006",15300,"East Bound: 7700 / West Bound: 7600","(41.772008, -87.679253)",c(-87.679253, 41.772008)
"1098",416,"5854 West","Division St","11/15/2006",12200,"East Bound: 6400 / West Bound: 5800","(41.902037, -87.772722)",c(-87.772722, 41.902037)
"1099",968,"1103 West","Bryn Mawr Ave","09/18/2006",17800,"East Bound: 9900 / West Bound: 7900","(41.983656, -87.658134)",c(-87.658134, 41.983656)
"1100",897,"1748 North","Laramie Ave","10/24/2006",13500,"North Bound: 6800 / South Bound: 6700","(41.912823, -87.755782)",c(-87.755782, 41.912823)
"1101",734,"640 North","La Salle St","09/21/2006",39000,"North Bound: 21100 / South Bound: 17900","(41.893609, -87.63265)",c(-87.63265, 41.893609)
"1102",378,"4929 South","Woodlawn Ave","05/02/2006",5500,"North Bound: 2900 / South Bound: 2600","(41.805123, -87.596753)",c(-87.596753, 41.805123)
"1103",591,"7825 South","Pulaski Rd","08/15/2006",46600,"North Bound: 22700 / South Bound: 23900","(41.750615, -87.721947)",c(-87.721947, 41.750615)
"1104",576,"49 South","Jefferson St","10/02/2006",9100,"North Bound: 9100 / / Oneway North Bound","(41.880549, -87.642619)",c(-87.642619, 41.880549)
"1105",98,"320 South","Ashland Ave","03/21/2006",29300,"North Bound: 15200 / South Bound: 14100","(41.876934, -87.666676)",c(-87.666676, 41.876934)
"1106",1125,"6129 South","Michigan Ave","09/20/2006",5200,"South Bound: 5200/ Oneway South Bound","(41.782937, -87.622164)",c(-87.622164, 41.782937)
"1107",771,"2739 North","Pulaski Rd","11/14/2006",26500,"North Bound: 12600 / South Bound: 13900","(41.931151, -87.726959)",c(-87.726959, 41.931151)
"1108",238,"6240 South","Racine Ave","03/23/2006",11000,"North Bound: 5300 / South Bound: 5700","(41.780185, -87.654517)",c(-87.654517, 41.780185)
"1109",1253,"428 East","47th St","10/24/2006",14200,"East Bound: 7100 / West Bound: 7100","(41.809405, -87.615129)",c(-87.615129, 41.809405)
"1110",862,"4256 North","Central Ave","08/23/2006",24900,"North Bound: 12600 / South Bound: 12300","(41.958566, -87.767179)",c(-87.767179, 41.958566)
"1111",1205,"7700 South","Cicero Ave","10/30/2006",59100,"North Bound: 28800 / South Bound: 30300","(41.752545, -87.741477)",c(-87.741477, 41.752545)
"1112",1222,"469 West","26th St","10/19/2006",9300,"East Bound: 4500 / West Bound: 4800","(41.845422, -87.6394)",c(-87.6394, 41.845422)
"1113",173,"1744 East","75th St","03/28/2006",13100,"East Bound: 6300 / West Bound: 6800","(41.758814, -87.581651)",c(-87.581651, 41.758814)
"1114",329,"5065 South","Drexel Blvd","03/28/2006",6600,"North Bound: 3400 / South Bound: 3200","(41.802286, -87.603784)",c(-87.603784, 41.802286)
"1115",1074,"168 North","Clinton St","01/30/2007",6900,"South Bound: 6900/ Oneway South Bound","(41.8852, -87.641298)",c(-87.641298, 41.8852)
"1116",665,"3636 North","Broadway","10/16/2006",10100,"North Bound: 5500 / South Bound: 4600","(41.948385, -87.647898)",c(-87.647898, 41.948385)
"1117",811,"322 South","California Ave","10/10/2006",13100,"North Bound: 6900 / South Bound: 6200","(41.876736, -87.696174)",c(-87.696174, 41.876736)
"1118",484,"2293 North","Clybourn Ave","10/24/2006",16400,"North Bound: 7800 / South Bound: 8600","(41.923528, -87.667066)",c(-87.667066, 41.923528)
"1119",344,"830 East","Oakwood Blvd","03/28/2006",4900,"East Bound: 3300 / West Bound: 1600","(41.823134, -87.605367)",c(-87.605367, 41.823134)
"1120",468,"3455 East","112th St","10/18/2006",7700,"East Bound: 4600 / West Bound: 3100","(41.691858, -87.539118)",c(-87.539118, 41.691858)
"1121",898,"5439 West","Lawrence Ave","08/24/2006",20800,"East Bound: 10500 / West Bound: 10300","(41.967757, -87.764167)",c(-87.764167, 41.967757)
"1122",445,"4444 West","Chicago Ave","10/19/2006",21400,"East Bound: 9800 / West Bound: 11600","(41.895151, -87.737793)",c(-87.737793, 41.895151)
"1123",44,"7669 South","Exchange Ave","03/07/2006",8300,"North Bound: 3900 / South Bound: 4400","(41.755798, -87.55646)",c(-87.55646, 41.755798)
"1124",1039,"3300 West","Roosevelt Rd","10/19/2006",20300,"East Bound: 9000 / West Bound: 11300","(41.866377, -87.708143)",c(-87.708143, 41.866377)
"1125",1021,"3734 West","26th St","09/14/2006",18400,"East Bound: 9000 / West Bound: 9400","(41.844328, -87.718582)",c(-87.718582, 41.844328)
"1126",1186,"3016 West","47th St","08/10/2006",26300,"East Bound: 12500 / West Bound: 13800","(41.808188, -87.699833)",c(-87.699833, 41.808188)
"1127",191,"505 East","83rd Street","03/28/2006",18000,"East Bound: 8200 / West Bound: 9800","(41.743855, -87.612049)",c(-87.612049, 41.743855)
"1128",901,"6534 West","Montrose Ave","08/23/2006",25800,"East Bound: 13000 / West Bound: 12800","(41.960111, -87.790501)",c(-87.790501, 41.960111)
"1129",290,"1730 West","Cermak Rd","03/30/2006",11500,"East Bound: 5300 / West Bound: 6200","(41.852265, -87.669817)",c(-87.669817, 41.852265)
"1130",168,"1440 East","67th St","03/28/2006",9200,"East Bound: 4500 / West Bound: 4700","(41.773298, -87.589932)",c(-87.589932, 41.773298)
"1131",1329,"299 North","State St","09/26/2006",19700,"North Bound: 9500 / South Bound: 10200","(41.887471, -87.628001)",c(-87.628001, 41.887471)
"1132",37,"3748 South","Dr Martin Luther King Jr Dr","03/02/2006",15600,"North Bound: 7300 / South Bound: 8300","(41.825982, -87.617039)",c(-87.617039, 41.825982)
"1133",65,"7345 South","Dr Martin Luther King Jr Dr","05/02/2006",18900,"North Bound: 9400 / South Bound: 9500","(41.760689, -87.615174)",c(-87.615174, 41.760689)
"1134",880,"5313 West","Foster Ave","08/10/2006",24600,"East Bound: 11600 / West Bound: 13000","(41.975186, -87.760787)",c(-87.760787, 41.975186)
"1135",439,"3656 West","Washington St","10/19/2006",11800,"East Bound: 5800 / West Bound: 6000","(41.881668, -87.718383)",c(-87.718383, 41.881668)
"1136",922,"3945 West","Belmont Ave","12/11/2006",16600,"East Bound: 8000 / West Bound: 8600","(41.939113, -87.725535)",c(-87.725535, 41.939113)
"1137",213,"2097 East","95th Street","03/22/2006",32100,"East Bound: 15300 / West Bound: 16800","(41.722499, -87.572943)",c(-87.572943, 41.722499)
"1138",206,"1850 West","95th Street","03/28/2006",31600,"East Bound: 15300 / West Bound: 16300","(41.721119, -87.669564)",c(-87.669564, 41.721119)
"1139",24,"1603 South","Damen Ave","03/02/2006",18800,"North Bound: 9600 / South Bound: 9200","(41.859378, -87.676043)",c(-87.676043, 41.859378)
"1140",1237,"8357 South","Halsted St","10/04/2006",29000,"North Bound: 15100 / South Bound: 13900","(41.741618, -87.64378)",c(-87.64378, 41.741618)
